County,State,Date,Year,Month,Period Begin,Period End,Homes Sold,Homes Sold with Price Drop,Homes Sold with Price Drop (%),Median Sale Price,Median Sales Price per Sqft,Price Drops,Listings with Price Drop (%),New Listings,Median New List Price,Median New Listing Price per Sqft,Inventory,Active Listings,Age of Inventory,Median List Price,Median List Price per Sqft,Average Offer to List,Average Sale to List Ratio,Median Days on Market,Months of Supply,Price Drops of Inventory (%),Homes Sold Above List (%)
Mecklenburg County, NC,2018-12-01,2018,December,2018-12-24 00:00:00,2018-12-30,222,72,32.43%,248500.0,123.94,71,1.62%,124,249950.0,$130.18,4149,4375,75.0,"$319,700.00",$147.39,0.99,0.99,62.0,19.71,1.71%,22.52%
Mecklenburg County, NC,2018-12-01,2018,December,2018-12-31 00:00:00,2019-01-06,213,74,34.74%,248000.0,129.43,150,3.42%,244,245000.0,$134.08,4094,4388,78.0,"$319,000.00",$147.64,1.00,0.98,59.0,20.60,3.66%,15.02%
Mecklenburg County, NC,2019-01-01,2019,January,2019-01-07 00:00:00,2019-01-13,225,91,40.44%,237000.0,127.45,176,3.94%,377,263902.0,$138.33,4167,4465,76.0,"$314,900.00",$147.25,0.97,0.97,61.5,19.84,4.22%,16.00%
Mecklenburg County, NC,2019-01-01,2019,January,2019-01-14 00:00:00,2019-01-20,244,84,34.43%,227500.0,131.08,179,3.96%,363,269000.0,$142.50,4178,4519,75.0,"$314,900.00",$147.82,1.00,0.98,65.5,18.52,4.28%,17.62%
Mecklenburg County, NC,2019-01-01,2019,January,2019-01-21 00:00:00,2019-01-27,213,73,34.27%,232000.0,127.14,218,4.78%,398,291500.0,$144.36,4274,4565,74.0,"$315,656.00",$148.69,0.97,0.98,58.0,21.43,5.10%,27.70%
Mecklenburg County, NC,2019-01-01,2019,January,2019-01-28 00:00:00,2019-02-03,326,124,38.04%,252500.0,129.95,182,3.83%,489,303000.0,$139.19,4347,4751,68.0,"$319,152.00",$148.65,1.00,0.98,69.0,14.57,4.19%,18.40%
Mecklenburg County, NC,2019-02-01,2019,February,2019-02-04 00:00:00,2019-02-10,196,62,31.63%,240200.0,126.95,191,4.01%,430,299900.0,$144.69,4460,4763,66.0,"$319,900.00",$149.82,0.98,0.98,65.0,24.30,4.28%,15.31%
Mecklenburg County, NC,2019-02-01,2019,February,2019-02-11 00:00:00,2019-02-17,318,119,37.42%,239000.0,127.44,180,3.67%,452,269900.0,$141.90,4524,4900,59.0,"$319,900.00",$150.13,1.01,0.98,63.5,15.41,3.98%,23.27%
Mecklenburg County, NC,2019-02-01,2019,February,2019-02-18 00:00:00,2019-02-24,269,97,36.06%,255000.0,135.14,169,3.45%,377,316950.0,$154.32,4548,4893,51.0,"$325,000.00",$151.86,0.99,0.98,56.0,18.19,3.72%,18.22%
Mecklenburg County, NC,2019-02-01,2019,February,2019-02-25 00:00:00,2019-03-03,498,163,32.73%,260000.0,131.91,189,3.70%,564,285000.0,$145.08,4602,5102,46.0,"$325,000.00",$152.02,1.00,0.98,54.5,10.24,4.11%,21.49%
Mecklenburg County, NC,2019-03-01,2019,March,2019-03-04 00:00:00,2019-03-10,306,99,32.35%,267250.0,137.14,205,4.02%,515,288677.0,$145.63,4736,5104,44.0,"$325,000.00",$153.36,0.98,0.98,49.0,16.68,4.33%,21.57%
Mecklenburg County, NC,2019-03-01,2019,March,2019-03-11 00:00:00,2019-03-17,388,120,30.93%,259865.0,136.76,212,4.05%,509,317000.0,$147.39,4811,5229,44.0,"$329,000.00",$153.81,0.98,0.98,51.0,13.48,4.41%,24.23%
Mecklenburg County, NC,2019-03-01,2019,March,2019-03-18 00:00:00,2019-03-24,330,104,31.52%,261000.0,134.71,204,3.83%,517,297613.0,$141.18,4886,5321,45.0,"$329,900.00",$154.08,0.97,0.99,49.0,16.12,4.18%,24.24%
